tx_hash,platform,category,function,status,je_count,events_count
0x58c7a29b29bf687ae0126c801146a7a13367fd1cba2ee892e52c318a1e3a039b,gondi,CONTRACT_CALL,unknown,success,0,0
0x7a3edfec2d971f282d573bf80d5cb571233df2a91bc31ab551a0767118a61799,gondi,CONTRACT_CALL,unknown,success,0,0
0x9bbde835d4753c101c5756901f9187a174edc08a737fdd63209db3af010722cb,gondi,CONTRACT_CALL,unknown,success,0,0
0x6a412a4e1ed8efd97e841385c9ef139d9414454a8010cb5b9c5ee977c9bd17ff,gondi,CONTRACT_CALL,unknown,success,0,0
0xbb63aee87d6f13f1ad020d16d4fd961ce66cb95cbed0b55b94886cc1aa91ab9a,gondi,CONTRACT_CALL,unknown,success,0,0
0xb6908b7d8813c183a2fdcbec12110048545f6667934072eab31cc5e6eb978e23,gondi,CONTRACT_CALL,unknown,success,0,0
0x206338388b498034641a8271dcf5f968011754c5f1f5a7d051f1e691c89930bb,gondi,CONTRACT_CALL,unknown,success,0,0
0x1a4e636e92f1cae9b8f5d69cc959c5d74f70ca633e1f6515d00452f41ac380c3,gondi,CONTRACT_CALL,unknown,success,0,0
0xfd230971c0531dec26495d0198961ea2982aa95ccfade19e41947500a08de406,gondi,CONTRACT_CALL,unknown,success,0,0
0x7108bf3cacf1feca76b0932ee105dd4627743a6ad6c28c56d838d7842a66fc09,gondi,CONTRACT_CALL,unknown,success,0,0
0xb8b58879ed90a4b3620d4591bca72e69d7341babb4a215ef603263afacd4779c,gondi,CONTRACT_CALL,unknown,success,0,0
0x394403d07d94461dccc2691fd3c51a31d3b8954362a30bfad54e9be4046dcb89,gondi,CONTRACT_CALL,unknown,success,0,0
0xe65c91cecc3d3f314bba3f6604e287edaafbf6346713f729d105369cccf53ef6,gondi,CONTRACT_CALL,unknown,success,0,0
0x55fe2fc46e6dc20b81a68ceddf57f1bfddc66f58a170c5cbc60e1db13208bb6b,gondi,CONTRACT_CALL,unknown,success,0,0
0x7d7288561f196f17f58e5d0f91f5ae0b98d70ecc2a7c5cf2803eb3585737d41a,gondi,CONTRACT_CALL,unknown,success,0,0
0x4324c055ad240e9cf795e68a2891da3d2f378f7713f03f5d8f42cdfe8d1319ce,gondi,CONTRACT_CALL,unknown,success,0,0
0x4249eed3f95ea97287c182960ecf947ab5e7972201fe6690e96a687b896d38d9,generic,ETH_TRANSFER,transfer,success,0,0
0xaa8dca8e4df8ae2efd3a364f47066ff00123067f40b9bd6a15b389fab03fdc2b,generic,ETH_TRANSFER,transfer,success,0,0
0x1f8855984e6b099dfa2558305999ad74d88f4d48d118fca6c82956dbe95fe7b7,generic,ETH_TRANSFER,transfer,success,0,0
0x6abdabee9ea9224cdeeb02e9f09067057c3b4267c73db38aac815ea66af191c1,generic,ETH_TRANSFER,transfer,success,0,0
0xf01b865cfa9b34af16cfc04e8ee62599ebbb29cad7b732f9d5f30ecc4957136b,generic,ETH_TRANSFER,transfer,success,0,0
0x88c447626dc234db0401b0c3c1373f9f1e13f2a977784f6d2e9f643d8c925e28,generic,ETH_TRANSFER,transfer,success,0,0
0x8b0644b00e9062c03862ef34279e66f138956c357910cba7b08c7e61887c14b3,gondi,CONTRACT_CALL,unknown,success,0,0
0x58e86f091d0d9308205fc880acf5b1dc03c7e6ee225ed713a12792de2ef38ee1,gondi,CONTRACT_CALL,unknown,success,0,0
0x351a32c6a2d130ad4f7568e4c5764a0ae164bf55ec47ecfb4a25b915b7a61714,gondi,CONTRACT_CALL,unknown,success,0,0
0x7c171154c1a139d2dc5c6212e5d06749e3e4c3fcea75b73708935b462652ac69,gondi,CONTRACT_CALL,unknown,success,0,0
0xce1362211105c6dbd93d742adab22b057220806ec4c1bc9cf921b5d9d929523e,gondi,CONTRACT_CALL,unknown,success,0,0
0x4a27e88a7331a027f838eaceabe03a7af5aa8a9adc47136b8608530a34c8a418,gondi,CONTRACT_CALL,unknown,success,0,0
0x6d6c5950057b2cc31bd32a07f33821f0c430b2b88abd4dc2875f522a4fa43d73,gondi,CONTRACT_CALL,unknown,success,0,0
0x953a8cb146ecd62260c0f895611f076a8c615fa2d56e7b08eb6c9e9ce4f5e753,gondi,CONTRACT_CALL,unknown,success,0,0
0x7e43ed909b84e605ff01ae6e30b7d3b9e9309b930a4311886ac361f7d8bcfa99,gondi,CONTRACT_CALL,unknown,success,0,0
0x14b3ae2710a60f598a120f6ec7b96d6d22a56f3c8cfe4b1aac9f2eab6d24675d,gondi,CONTRACT_CALL,unknown,success,0,0
0x188e7a4c30d730fff282165107dc1989def0a5cc4f05a07f1911c6a2b86a5872,gondi,CONTRACT_CALL,unknown,success,0,0
0x9a9f22cde380510d2b96131f07929c497277b42cb0efcca4e8d94e2b215f0155,gondi,CONTRACT_CALL,unknown,success,0,0
0xacf08000bfefde75c2f39668db2e364df2ee8a4e353dd6fb33160e64abf6335d,blur,LOAN_REPAYMENT,Repay,success,0,1
0x92bd7ab2bbda70b575040c77f5ec3d9c2158b4b8d3e8402309eb5b0548823a5e,blur,LOAN_REPAYMENT,Repay,success,0,1
0x77f984aec500ed4315fc337c4923d0f5be320abb5c82710520322047db831a3a,blur,CONTRACT_CALL,unknown,success,0,0
0x46d89255bc1996b0afd428fba4e251b78c3bf139593a948f93d97074261033ee,generic,ERC20_TRANSFER,unknown,success,0,0
0x1c16d468e458a30ff42aefc95b3d9ee7a1bbfc8e70326d82a1aad909f3844f87,blur,COLLATERAL_SEIZURE,Seize,success,0,1
0xa18640c8ae5edd9946529f425afd2a16afc80def32a15e3b88ad3e13de532ac7,generic,ERC20_TRANSFER,unknown,success,0,0
0xa2a3e25f13ae4c1c26d36e7f46e8df998739b841bf93e397962cc8d4d5df915d,generic,ERC20_TRANSFER,unknown,success,0,0
0xd3c7c1fa674560c8db7ba9b2cd8b07404fc9028ab1c7c3c4ef558d3938c493d9,generic,ERC20_TRANSFER,unknown,success,0,0
0xaba3c951f834438832e248497488ea2d784ed44887744f29c21dea0458140ef6,generic,ETH_TRANSFER,transfer,success,1,0
0xc251a3bf51099511f55cab72f7b60e2a1e6de8e91be183540b956f2148f70819,generic,ETH_TRANSFER,transfer,success,1,0
0xaef822455b99aca70a097381ee86e6a4b8751cb9f177ef67f6c345de16c57bce,generic,ERC20_TRANSFER,unknown,success,0,0
0xf5678705359081a59514997dea549bf3511735e962d295550c135683ba4b35de,generic,ERC20_TRANSFER,unknown,success,0,0
0xfebf885c0d81099fa367aec9499402286e42d0394fd13ae0167782c8873d75f5,generic,ETH_TRANSFER,transfer,success,0,0
0xd4e7733b934296dd49ed54bb4fb2eceb93be60158c6e9844ece92961b82582a9,generic,ERC20_TRANSFER,unknown,success,0,0
0x2fef05b6a498c10b29bd1de0827ccfc617ce3499c4844b20d2a1b1fb442e37aa,generic,CONTRACT_CALL,unknown,success,0,0
0x8998bc1e5a5319dcac3bf8d32083aff0769cb2d9cb68be2aca666916f4f2ed8f,generic,CONTRACT_CALL,unknown,success,0,0
0x6f142a2eb079d781130d1648affcdb8a06f67e44b0981bf865d0eb5bf324e2a4,generic,CONTRACT_CALL,unknown,success,0,0
0xfb1215a48db2377dcae72c187a36da557bc790ca9e541e4fc4682e0a57e794cc,generic,CONTRACT_CALL,unknown,success,0,0
0x835ac69a8e136d0395fd2a5c2fc6a56ed970b9212b501c1c9a04cab6531c67e2,blur,COLLATERAL_SEIZURE,Seize,success,0,1
0x2c5bc8a75345be4264629d278ca5ff11f706053ee79495bbdc50f9c55ef439ac,blur,CONTRACT_CALL,unknown,success,0,0
0x013a210b089c355b6a615d39674bbec9b3b3d8c4b030bcb9a3656122343be352,generic,ETH_TRANSFER,transfer,success,0,0
0xa977f19c5c9ca682707ce9cbbf8b2bb2f4963be21da84b8f29121ab8a371c6f7,generic,ETH_TRANSFER,transfer,success,0,0
0xa510bdc4b8e53346ce911f09b2ec0077c705f17e2ba38554f7383c2a8ee6dc79,generic,ETH_TRANSFER,transfer,success,0,0
0x855a9c2edb2f124b0235e3487ade86c452aa6b1341bbdd4d7fe4f7edb61d42ef,generic,ETH_TRANSFER,transfer,success,0,0
0x7c421c67865d1f05305b75249535be6165bc26bbd03b5930deb02a6853a18c34,blur,CONTRACT_CALL,unknown,success,0,0
0xcac60643d7f52c101612e1259b53c41a46708202d2b21282b74a25f8ab5e7bde,blur,CONTRACT_CALL,unknown,success,0,0
